drug1,drug2,side_effect,PRR
topiramate,cephalexin,Cholecystitis chronic,80.0
folic acid,teriparatide,Thoracic vertebral fracture,80.0
ipratropium,metoprolol,Echocardiogram abnormal,80.0
hydrocortisone,hydralazine,Neutropenia,80.0
carisoprodol,simvastatin,Bursitis,80.0
clonidine,cimetidine,Bone disorder,80.0
thiamine,fluconazole,Cellulitis,80.0
ciprofloxacin,rizatriptan,Cholecystitis chronic,80.0
bisacodyl,insulin glargine,Blood glucose decreased,80.0
lovastatin,hydrocodone,Carpal tunnel syndrome,80.0
estradiol,"synthetic conjugated estrogens, b",Urinary tract infection,80.0
losartan,oxybutynin,Product adhesion issue,80.0
linezolid,aminosalicylic acid,Pancreatitis,80.0
phenylephrine,pioglitazone,Anxiety,80.0
miconazole,bumetanide,International normalised ratio increased,80.0
enalapril,metolazone,Mitral valve incompetence,80.0
prazosin,clonazepam,Cardio-respiratory arrest,80.0
calcium carbonate,colchicine,Gout,80.0
furosemide,immunoglobulin g,Meningitis aseptic,80.0
folic acid,nifedipine,Pre-eclampsia,80.0
metformin,doxepin,Diabetic neuropathy,80.0
azithromycin,bezafibrate,Pancytopenia,80.0
diphenoxylate,zolpidem,Osteopenia,80.0
amoxicillin,mannitol,Renal failure,80.0
albuterol,cefuroxime,Cholecystitis chronic,80.0
enoxaparin,potassium citrate,Stevens-Johnson syndrome,80.0
bisoprolol,nitroglycerin,Idiopathic thrombocytopenic purpura,80.0
vitamin e,lansoprazole,Hyperlipidaemia,80.0
efavirenz,pravastatin,Drug resistance,80.0
telaprevir,levofloxacin,Haemoglobin decreased,80.0
deferasirox,methotrexate,Haemoglobin decreased,80.0
buprenorphine,brotizolam,Delirium,80.0
nitroglycerin,mupirocin,Chronic obstructive pulmonary disease,80.0
spironolactone,ondansetron,Ascites,80.0
docetaxel,leucovorin,Ascites,80.0
methylprednisolone,metoprolol,Diastolic dysfunction,80.0
diphenhydramine,romiplostim,Thrombocytopenia,80.0
pantoprazole,sulfamethoxazole,Cytomegalovirus viraemia,80.0
phenobarbital,baclofen,No therapeutic response,80.0
amlodipine,diosmin,Toxic skin eruption,80.0
atorvastatin,pregabalin,Skin hypertrophy,80.0
drotrecogin alfa,dobutamine,Thrombocytopenia,80.0
ipratropium,standardized senna concentrate,Myositis,80.0
venlafaxine,ritonavir,Hyperlactacidaemia,80.0
capecitabine,omeprazole,Vascular calcification,80.0
furosemide,loratadine,Diabetic neuropathy,80.0
morphine,gadoversetamide,Dry skin,80.0
risedronate,hydroxyzine,Tricuspid valve incompetence,80.0
efavirenz,amprenavir,Drug resistance,80.0
fosphenytoin,pentobarbital,Status epilepticus,80.0
chlorhexidine,metaxalone,Fall,80.0
mometasone,cyclobenzaprine,Electrolyte imbalance,80.0
lidocaine,spironolactone,Drug reaction with eosinophilia and systemic symptoms,80.0
oxytetracycline,omeprazole,Blood creatinine increased,80.0
famotidine,loratadine,Carpal tunnel syndrome,80.0
deflazacort,cilostazol,Rhabdomyolysis,80.0
lipase,gemcitabine,Pancreatic carcinoma,80.0
cyclophosphamide,magnesium sulfate,Hypoxia,80.0
filgrastim,teicoplanin,Cytomegalovirus test positive,80.0
labetalol,leucovorin,Blood bilirubin increased,80.0
mineral oil,leucovorin,Neutropenia,80.0
lenalidomide,adalimumab,Intestinal stenosis,80.0
propranolol,alprazolam,Ventricular arrhythmia,80.0
cimetidine,escitalopram,Osteoporosis,80.0
dapsone,tenofovir,Metabolic acidosis,80.0
valacyclovir,aluminum hydroxide,Hypertriglyceridaemia,80.0
mometasone,amiodarone,Mitral valve incompetence,80.0
hydrochlorothiazide,nitroglycerin,Left ventricular hypertrophy,80.0
estradiol,azithromycin,Gastritis,80.0
codeine,teicoplanin,Toxic epidermal necrolysis,80.0
rasagiline,naproxen,Psychomotor hyperactivity,80.0
fluvoxamine,magnesium oxide,Red blood cell count decreased,80.0
ibuprofen,rizatriptan,Biliary dyskinesia,80.0
urapidil,hydroxyzine,Hyperkalaemia,80.0
telaprevir,insulin glargine,Electrocardiogram QT prolonged,80.0
lisinopril,docetaxel,Histiocytosis haematophagic,80.0
valsartan,bortezomib,Neuropathy peripheral,80.0
sertraline,cefazolin,Renal impairment,80.0
oxygen,sunitinib,Oral pain,80.0
gliclazide,acenocoumarol,Hyperkalaemia,80.0
bisacodyl,lorazepam,Osteosclerosis,80.0
estradiol,tamoxifen,Breast cancer,80.0
acetaminophen,atropine,Aortic arteriosclerosis,80.0
epirubicin,darbepoetin alfa,Leukopenia,80.0
vitamin e,gabapentin,Loose tooth,80.0
carvedilol,sunitinib,Renal cell carcinoma,80.0
cetirizine,aluminum hydroxide,Blister,80.0
olanzapine,cocaine,Toxicity to various agents,80.0
meloxicam,doxepin,Cardio-respiratory arrest,80.0
sulfamethoxazole,brentuximab vedotin,Hodgkin's disease,80.0
salmeterol,gemfibrozil,Hyperlipidaemia,80.0
asparaginase,leucovorin,Hypertriglyceridaemia,80.0
propofol,metoclopramide,Ileus paralytic,80.0
meropenem,digoxin,Respiratory failure,80.0
ferrous fumarate,ciprofloxacin,Joint stiffness,80.0
vitamin a,latanoprost,Skin irritation,80.0
hydralazine,gadoversetamide,Joint range of motion decreased,80.0
levetiracetam,flunisolide,Dehydration,80.0
mirtazapine,heroin,Swelling face,80.0
venlafaxine,codeine,Respiratory depression,80.0
fluindione,zolpidem,Orthostatic hypotension,80.0
metoprolol,telithromycin,Atrial fibrillation,80.0
heparin,pregabalin,Myoclonus,80.0
heparin,butylscopolamine,Medical device complication,80.0
caspofungin,cytarabine,Septic shock,80.0
amiodarone,ticlopidine,Interstitial lung disease,80.0
loratadine,carvedilol,Therapeutic agent toxicity,80.0
sulfamethoxazole,sulpiride,Platelet count decreased,80.0
modafinil,valproate,Mania,80.0
nabumetone,heparin,Renal failure,80.0
guaifenesin,loratadine,Tricuspid valve incompetence,80.0
meropenem,amphotericin b,Acute myeloid leukaemia,80.0
quetiapine,finasteride,Dysarthria,80.0
donepezil,carvedilol,Dementia Alzheimer's type,80.0
bisacodyl,amoxicillin,Hyponatraemia,80.0
atropine,enalapril,Bradycardia,80.0
carisoprodol,tizanidine,Restless legs syndrome,80.0
polyethylene glycol 3350,prednisone,Bone lesion,80.0
"estrogens, conjugated (usp)",tolterodine,Hiatus hernia,80.0
ribavirin,"insulin, isophane",White blood cell count decreased,80.0
dronabinol,megestrol,Neutropenia,80.0
cefixime,filgrastim,Epistaxis,80.0
rifampin,citalopram,Pulmonary fibrosis,80.0
glucose,lanthanum carbonate,Peritonitis,80.0
loperamide,sorafenib,Hepatic neoplasm malignant,80.0
telaprevir,ramipril,Electrocardiogram QT prolonged,80.0
donepezil,clozapine,Unresponsive to stimuli,80.0
geranylgeranylacetone,rabeprazole,Hepatic function abnormal,80.0
thiothixene,cyclobenzaprine,Diabetes mellitus,80.0
glyburide,zolpidem,Diabetic neuropathy,80.0
roflumilast,indacaterol,Chronic obstructive pulmonary disease,80.0
esomeprazole,amikacin,Transaminases increased,80.0
zonisamide,imiglucerase,Respiratory failure,80.0
salmeterol,piperacillin,Chronic obstructive pulmonary disease,80.0
simvastatin,meprednisone,Drug interaction,80.0
naproxen,gemcitabine,Bone marrow failure,80.0
enalapril,dobutamine,Ventricular tachycardia,80.0
testosterone,gabapentin,Intervertebral disc degeneration,80.0
didanosine,trimethoprim,Hepatomegaly,80.0
simvastatin,aflibercept,Orthostatic hypotension,80.0
acetaminophen,atosiban,Premature baby,80.0
oxaliplatin,fluconazole,Acute respiratory failure,80.0
albuterol,digoxin antibodies fab fragments,Cardiac failure congestive,80.0
felodipine,diltiazem,Presyncope,80.0
albuterol,sunitinib,Toxic epidermal necrolysis,80.0
carbocysteine,nitroglycerin,Myositis,80.0
abatacept,pramipexole,Urinary tract infection,80.0
simvastatin,sipuleucel-t,Metastases to bone,80.0
diltiazem,haloperidol,Obesity,80.0
cefixime,morphine,Epistaxis,80.0
quinapril,simvastatin,Pathological fracture,80.0
alteplase,dopamine,Cardiogenic shock,80.0
metoprolol,baclofen,Reaction to drug excipients,80.0
loperamide,amitriptyline,Device related infection,80.0
pantoprazole,haloperidol,Clostridium difficile colitis,80.0
tetracaine,ketorolac,Inflammation,80.0
doxazosin,metoprolol,Joint contracture,80.0
omeprazole,amitriptyline,Gastric pH decreased,80.0
ephedrine,calcium chloride,Renal injury,80.0
iron,potassium chloride,Diverticulum,80.0
amiodarone,mupirocin,Bradycardia,80.0
lisinopril,doxycycline,Ischaemic cardiomyopathy,80.0
icodextrin,calcium chloride,Fungal peritonitis,80.0
midazolam,ethambutol,Blood potassium decreased,80.0
nicorandil,alfuzosin,Haematoma,80.0
ethanol,levothyroxine,Respiratory arrest,80.0
gentamicin,doxycycline,Cytomegalovirus infection,80.0
donepezil,lidocaine,Mental status changes,80.0
ampicillin,digoxin,Bradycardia,80.0
ibuprofen,rosuvastatin,Vulvovaginal dryness,80.0
quetiapine,fentanyl,Breakthrough pain,80.0
hyoscyamine,ziprasidone,Diabetes mellitus,80.0
fluoxetine,metaxalone,Obesity,80.0
tramadol,perphenazine,Diabetes mellitus,80.0
cefazolin,labetalol,Multi-organ failure,80.0
lidocaine,isoflurane,Heart rate decreased,80.0
buprenorphine,phenylpropanolamine,Completed suicide,80.0
ritonavir,levocarnitine,Neuropathy peripheral,80.0
"insulin, aspart, human",sevelamer,Peritonitis,80.0
tacrolimus,zolpidem,Gastroenteritis,80.0
calcium carbonate,amiodarone,Scab,80.0
lidocaine,mometasone,Hyperlipidaemia,80.0
simeprevir,trazodone,Off label use,80.0
bisoprolol,amiloride,Blood potassium increased,80.0
pantoprazole,minocycline,Hyperbilirubinaemia,80.0
buspirone,nitroglycerin,Economic problem,80.0
escitalopram,levofloxacin,Arteriosclerosis,80.0
fluoxetine,aztreonam,Hypoglycaemia,80.0
travoprost,doxazosin,Tricuspid valve incompetence,80.0
tacrolimus,atenolol,Transplant rejection,80.0
tobramycin,pantoprazole,Pseudomonas infection,80.0
lactulose,ticagrelor,Agranulocytosis,80.0
meropenem,domperidone,Respiratory failure,80.0
terbutaline,vancomycin,Drug reaction with eosinophilia and systemic symptoms,80.0
levetiracetam,baclofen,Reaction to drug excipients,80.0
dalfampridine,mirtazapine,Small for dates baby,80.0
budesonide,desipramine,Renal failure,80.0
glimepiride,carvedilol,Hypoglycaemic coma,80.0
temozolomide,loperamide,Neutropenia,80.0
lamotrigine,esomeprazole,Diabetic neuropathy,80.0
doxorubicin,denosumab,Hypocalcaemia,80.0
gatifloxacin,codeine,Hyperglycaemia,80.0
indomethacin,nifedipine,Premature baby,80.0
tizanidine,cyclophosphamide,Stomatitis,80.0
amphotericin b liposomal,caspofungin,Aspergillosis,80.0
tamoxifen,levothyroxine,Bone lesion,80.0
levodopa,teriparatide,Hip fracture,80.0
dihydrocodeine,ampicillin,Drug exposure during pregnancy,80.0
doxycycline,ivabradine,Peripheral swelling,80.0
omeprazole,urokinase,Bradyphrenia,80.0
chlordiazepoxide,omeprazole,Multiple injuries,80.0
"estrogens, conjugated (usp)",mannitol,Injury,80.0
trimethoprim,alendronate,Jaw disorder,80.0
olanzapine,cyclophosphamide,Febrile neutropenia,80.0
enoxaparin,ferrous fumarate,Foetal exposure during pregnancy,80.0
magnesium,esomeprazole,Ventricular extrasystoles,80.0
procyclidine,citalopram,Aspiration,80.0
simvastatin,natalizumab,Immune reconstitution inflammatory syndrome,80.0
ranitidine,calcitriol,Kidney transplant rejection,80.0
atorvastatin,aprepitant,Jaundice,80.0
metoprolol,hydroxyurea,Platelet count increased,80.0
chlorpheniramine,lisinopril,Spinal osteoarthritis,80.0
hetastarch,aprotinin,Injury,80.0
lisinopril,vorinostat,Thrombocytopenia,80.0
asparaginase,acyclovir,Neutropenia,80.0
diphenhydramine,ofatumumab,Infusion related reaction,80.0
morphine,mesalamine,Colitis ulcerative,80.0
mometasone,mupirocin,Osteoarthritis,80.0
fluticasone,ramipril,Lymphocytic infiltration,80.0
venlafaxine,isotretinoin,Crohn's disease,80.0
triamcinolone,efalizumab,Psoriasis,80.0
candesartan,oxycodone,Altered state of consciousness,80.0
prochlorperazine,bisacodyl,Bone disorder,80.0
moxifloxacin,bupropion,Economic problem,80.0
tinzaparin,linezolid,Toxic epidermal necrolysis,80.0
indomethacin,potassium chloride,Gastrointestinal haemorrhage,80.0
sertraline,enzalutamide,Malignant neoplasm progression,80.0
moxifloxacin,ritonavir,Arrhythmia,80.0
glipizide,penicillin,Diabetes mellitus,80.0
clopidogrel,thalidomide,Pancytopenia,80.0
clavulanate,bromazepam,Rash maculo-papular,80.0
temazepam,paroxetine,Dyslipidaemia,80.0
erythromycin,potassium chloride,Toxic epidermal necrolysis,80.0
daunorubicin,voriconazole,Bronchopulmonary aspergillosis,80.0
telmisartan,baclofen,Drug toxicity,80.0
brotizolam,clarithromycin,Neutrophil count decreased,80.0
ustekinumab,desloratadine,Psychotic disorder,80.0
levofloxacin,sevelamer,Joint stiffness,80.0
hydrocortisone,montelukast,Tendonitis,80.0
paclitaxel,rofecoxib,Osteonecrosis of jaw,80.0
prednisolone,ranitidine,Defaecation urgency,80.0
mometasone,clavulanate,Hepatitis,80.0
palonosetron,trimethoprim,Febrile neutropenia,80.0
linezolid,rabeprazole,Platelet count decreased,80.0
"insulin, isophane",doxazosin,Myopathy,80.0
vancomycin,desloratadine,Asthma,80.0
ethinyl estradiol,allopurinol,Deep vein thrombosis,80.0
carbamazepine,fludarabine,Drug interaction,80.0
ethinyl estradiol,chlordiazepoxide,Cholelithiasis,80.0
hyoscyamine,alprazolam,Mitral valve incompetence,80.0
risperidone,lormetazepam,Depressed level of consciousness,80.0
chlorpheniramine,pamidronate,Osteoarthritis,80.0
simvastatin,nimodipine,Sedation,80.0
calcium carbonate,olmesartan,Eosinophilia,80.0
clindamycin,leucovorin,Pancytopenia,80.0
cilostazol,alfacalcidol,Interstitial lung disease,80.0
telmisartan,loperamide,Orthostatic hypotension,80.0
colistin,ondansetron,Multi-organ failure,80.0
stavudine,fosamprenavir,Neuropathy peripheral,80.0
telmisartan,lercanidipine,Lactic acidosis,80.0
clonidine,varenicline,Abnormal dreams,80.0
norethindrone,drospirenone,Cholelithiasis,80.0
enoxaparin,baclofen,Neuralgia,80.0
pantoprazole,anastrozole,Exposed bone in jaw,80.0
dasatinib,levalbuterol,Neutropenia,80.0
imatinib,amiodarone,Atrial fibrillation,80.0
spironolactone,zopiclone,Left ventricular failure,80.0
temozolomide,vinorelbine,Mucosal inflammation,80.0
morphine,gemfibrozil,Respiratory arrest,80.0
folic acid,sodium bicarbonate,Atrioventricular block first degree,80.0
valsartan,hydroxyzine,Blood magnesium decreased,80.0
nifedipine,insulin lispro,Hyperglycaemia,80.0
atorvastatin,mirtazapine,Metabolic syndrome,80.0
estradiol,leuprolide,Hot flush,80.0
haloperidol,methylphenidate,Blood triglycerides increased,80.0
ribavirin,mirtazapine,Flank pain,80.0
prednisone,celecoxib,Vertebral foraminal stenosis,80.0
topiramate,irinotecan,Dysarthria,80.0
cimetidine,bismuth subsalicylate,Vitamin D deficiency,80.0
calcium chloride,metolazone,Renal injury,80.0
candesartan,colchicine,Gout,80.0
esomeprazole,cromolyn,Blister,80.0
ibuprofen,iodine,Drug hypersensitivity,80.0
oxycodone,vitamin d3,Haemorrhage intracranial,80.0
betamethasone,roxithromycin,Foetal exposure during pregnancy,80.0
isosorbide,gadolinium,Injury,80.0
desloratadine,ciclesonide,Psychotic disorder,80.0
ciprofloxacin,cefadroxil,Urinary tract infection,80.0
albuterol,bumetanide,Drug effect prolonged,80.0
pyridoxal,trimethoprim,Interstitial lung disease,80.0
oxycodone,carvedilol,Lumbar spinal stenosis,80.0
metoprolol,fludarabine,Pleural effusion,80.0
loperamide,methylprednisolone,Hepatitis cholestatic,80.0
esomeprazole,benztropine,Gastritis,80.0
esomeprazole,voriconazole,Hepatocellular injury,80.0
losartan,magnesium sulfate,Anhedonia,80.0
rosiglitazone,water,Weight increased,80.0
follitropin alfa,cetrorelix,Caesarean section,80.0
losartan,insulin glargine,Hypoglycaemic coma,80.0
colchicine,celecoxib,Economic problem,80.0
macitentan,torsemide,Fluid retention,80.0
vecuronium,amiodarone,Renal injury,80.0
diphenhydramine,ixabepilone,Mucosal inflammation,80.0
trimethoprim,standardized senna concentrate,Lymphocyte count decreased,80.0
ranitidine,quinine,Sinus tachycardia,80.0
cefepime,heparin,Myositis,80.0
tamoxifen,copper,Device expulsion,80.0
phentermine,diazepam,Drug dependence,80.0
miconazole,chlorhexidine,Stevens-Johnson syndrome,80.0
basiliximab,allopurinol,Urinary tract infection,80.0
hydrochlorothiazide,ranitidine,Electrocardiogram T wave inversion,80.0
furosemide,ethanol,Toxicity to various agents,80.0
acenocoumarol,nitroglycerin,Hyperkalaemia,80.0
latanoprost,zopiclone,Chronic obstructive pulmonary disease,80.0
hydrochlorothiazide,lenalidomide,Osteosclerosis,80.0
ciprofloxacin,diphenoxylate,Restless legs syndrome,80.0
pantoprazole,ciclesonide,"Hallucination, auditory",80.0
lansoprazole,"insulin, aspart, human",Lymphocytic infiltration,80.0
clonazepam,dalfampridine,Muscle spasticity,80.0
ceftriaxone,cefotaxime,Pancreatitis acute,80.0
lactulose,atorvastatin,Mean cell volume decreased,80.0
lidocaine,penicillin,Emotional distress,80.0
levetiracetam,sertraline,Mental status changes,80.0
meperidine,mupirocin,Sepsis,80.0
aripiprazole,levofloxacin,Diabetic ketoacidosis,80.0
oxazepam,metolazone,Hyponatraemia,80.0
cyamemazine,haloperidol,Rhabdomyolysis,80.0
amlodipine,trazodone,Breath sounds abnormal,80.0
esomeprazole,posaconazole,Toxic epidermal necrolysis,80.0
cetirizine,trazodone,Mitral valve incompetence,80.0
eszopiclone,natalizumab,Multiple sclerosis relapse,80.0
mometasone,methylphenidate,No adverse event,80.0
fosinopril,atenolol,Myositis,80.0
paroxetine,nitroglycerin,Essential hypertension,80.0
tramadol,atorvastatin,Tenosynovitis,80.0
alfacalcidol,bosentan,Hepatic function abnormal,80.0
dronabinol,epoetin alfa,Renal failure acute,80.0
simvastatin,eflornithine,Abortion spontaneous,80.0
amantadine,citalopram,Multiple sclerosis,80.0
morphine,carboplatin,Adrenal insufficiency,80.0
alfacalcidol,fluconazole,C-reactive protein increased,80.0
"estrogens, conjugated (usp)",pamidronate,Bone lesion,80.0
estradiol,cholecalciferol,Contusion,80.0
"estrogens, conjugated (usp)",phenazopyridine,Gastrooesophageal reflux disease,80.0
doxorubicin,mannitol,Wrong technique in drug usage process,80.0
omeprazole,isosorbide,Anal haemorrhage,80.0
alprazolam,potassium chloride,Lumbar radiculopathy,80.0
sulfamethoxazole,dexmedetomidine,Coma,80.0
buprenorphine,clindamycin,Bone disorder,80.0
triazolam,morphine,Osteonecrosis of jaw,80.0
chlorpheniramine,cytarabine,White blood cell count decreased,80.0
acetaminophen,tiotropium,Atrial tachycardia,80.0
vitamin d,amoxicillin,Bone disorder,80.0
metronidazole,mometasone,Economic problem,80.0
ibuprofen,tilidine,Toxicity to various agents,80.0
vancomycin,sevoflurane,Cholestasis,80.0
enoxaparin,gentamicin,Drug reaction with eosinophilia and systemic symptoms,80.0
torsemide,levalbuterol,Atrial fibrillation,80.0
trimethoprim,prednisone,Computerised tomogram abnormal,80.0
furosemide,captopril,Lobar pneumonia,80.0
metformin,folic acid,Gastroschisis,80.0
buprenorphine,mometasone,Rhinitis allergic,80.0
lorazepam,cefuroxime,Ileus paralytic,80.0
metoprolol,celecoxib,Bone loss,80.0
cephalexin,rizatriptan,Abdominal pain upper,80.0
bisacodyl,ciprofloxacin,Economic problem,80.0
simvastatin,quinine,Electrocardiogram PR prolongation,80.0
azithromycin,glimepiride,Economic problem,80.0
"insulin, isophane",metolazone,Fluid overload,80.0
doxazosin,diltiazem,Skin hypertrophy,80.0
lorazepam,ranitidine,Metastases to spine,80.0
enoxaparin,sildenafil,Right ventricular failure,80.0
glipizide,nifedipine,Blood glucose fluctuation,80.0
fenofibrate,amiodarone,Cardioactive drug level increased,80.0
nortriptyline,oxazepam,Toxicity to various agents,80.0
butylscopolamine,teicoplanin,Medical device complication,80.0
